site;date;day;month;year;number;unique.number;sex;spawning;time.h;time.end.h;time;time.end;sunrise;start.time.to.sunrise;sst
Vairao;23/11/2021;23;11;2021;5;Vairao5;UNKNOWN;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
Vairao;23/11/2021;23;11;2021;6;Vairao6;MALE;YES;6.49;NA;6.816666667;NA;5.2;1.616666667;27.3799932844937
Vairao;23/11/2021;23;11;2021;7;Vairao7;UNKNOWN;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
Vairao;23/11/2021;23;11;2021;8;Vairao8;MALE;YES;7.09;NA;7.15;NA;5.2;1.95;27.3799932844937
Vairao;23/11/2021;23;11;2021;9;Vairao9;MALE;YES;6.45;NA;6.75;NA;5.2;1.55;27.3799932844937
Vairao;23/11/2021;23;11;2021;10;Vairao10;UNKNOWN;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
Vairao;23/11/2021;23;11;2021;11;Vairao11;FEMALE;YES;7.28;NA;7.466666667;NA;5.2;2.266666667;27.3799932844937
Vairao;23/11/2021;23;11;2021;12;Vairao12;UNKNOWN;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
Vairao;23/11/2021;23;11;2021;13;Vairao13;FEMALE;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
Vairao;23/11/2021;23;11;2021;14;Vairao14;FEMALE;YES;7.42;NA;7.7;NA;5.2;2.5;27.3799932844937
Vairao;23/11/2021;23;11;2021;15;Vairao15;FEMALE;YES;7.26;NA;7.433333333;NA;5.2;2.233333333;27.3799932844937
Vairao;23/11/2021;23;11;2021;16;Vairao16;FEMALE;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
Vairao;23/11/2021;23;11;2021;17;Vairao17;MALE;NO;NA;NA;NA;NA;5.2;NA;27.3799932844937
Vairao;23/11/2021;23;11;2021;18;Vairao18;FEMALE;YES;7.32;NA;7.533333333;NA;5.2;2.333333333;27.3799932844937
Vairao;23/11/2021;23;11;2021;19;Vairao19;FEMALE;YES;7.39;NA;7.65;NA;5.2;2.45;27.3799932844937
