country,island,site,habitat,depth,latitude,longitude,date,season,h_start,h_sunrise,h_after_sunrise
French Polynesia,Maupiti,Petit lagon bleu,Lagoon,5,-16.473867,-152.2525,2021-01-03,2020-2021,7.1,5.69027777777778,1.4097222222222197
French Polynesia,Maupiti,Petit lagon bleu,Lagoon,5,-16.473867,-152.2525,2021-02-02,2020-2021,7.5,5.98416666666667,1.5158333333333296
French Polynesia,Maupiti,Petit lagon bleu,Lagoon,5,-16.473867,-152.2525,2021-03-03,2020-2021,7.53333333333333,6.15861111111111,1.3747222222222195
French Polynesia,Maupiti,Petit lagon bleu,Lagoon,5,-16.473867,-152.2525,2021-04-02,2020-2021,7.58333333333333,6.25222222222222,1.3311111111111105
French Polynesia,Apataki,Apataki 1,Lagoon,5,-15.5678,-146.41099,2022-04-21,2021-2022,7.46666666666667,5.9,1.56666666666667
French Polynesia,Bora Bora,Ame,Lagoon,2,-16.524429,-151.739351,2021-10-25,2021-2022,7.46666666666667,5.53333333333333,1.9333333333333407
French Polynesia,Bora Bora,Pointe raititi,Lagoon,2,-16.53283,-151.747537,2021-10-25,2021-2022,7.25,5.53333333333333,1.7166666666666703
French Polynesia,Bora Bora,Motu toopua,Lagoon,2,-16.523532,-151.77181,2021-11-23,2021-2022,7,5.4,1.5999999999999996
French Polynesia,Bora Bora,Pointe taihi,Lagoon,2,-16.465298,-151.743954,2021-11-23,2021-2022,6.83333333333333,5.4,1.43333333333333
French Polynesia,Bora Bora,Ame,Lagoon,2,-16.524429,-151.739351,2021-11-23,2021-2022,6.8,5.4,1.3999999999999995
French Polynesia,Bora Bora,Bora 1,Lagoon,5,-16.52854,-151.74528,2021-11-23,2021-2022,6.78333333333333,5.4,1.3833333333333293
French Polynesia,Bora Bora,Motu toopua,Lagoon,2,-16.523532,-151.77181,2021-12-23,2021-2022,7.03333333333333,5.53333333333333,1.5
French Polynesia,Bora Bora,Ame,Lagoon,2,-16.524429,-151.739351,2021-12-23,2021-2022,6.83333333333333,5.53333333333333,1.3000000000000007
French Polynesia,Bora Bora,Bora 3,Lagoon,5,-16.49045,-151.7112,2021-12-23,2021-2022,6.93333333333333,5.53333333333333,1.4000000000000004
French Polynesia,Huahine,Avea,Lagoon,2,-16.81256,-150.98961,2021-12-23,2021-2022,7.18333333333333,5.48333333333333,1.7000000000000002
French Polynesia,Huahine,Motu vaiorea,Lagoon,2,-16.77866,-151.03162,2021-12-23,2021-2022,7.16666666666667,5.48333333333333,1.6833333333333398
French Polynesia,Maupiti,Petit lagon bleu,Lagoon,5,-16.473867,-152.2525,2021-11-23,2021-2022,6.9,5.43333333333333,1.4666666666666703
French Polynesia,Maupiti,Motu paeao,Lagoon,2,-16.42228,-152.26228,2021-12-23,2021-2022,7,5.58333333333333,1.4166666666666696
French Polynesia,Maupiti,Motu paeao,Lagoon,2,-16.42228,-152.26228,2022-01-22,2021-2022,7.35,5.86666666666667,1.4833333333333298
French Polynesia,Moorea,Maharepa 2,Lagoon,2,-17.479639,-149.796028,2021-10-25,2021-2022,7.33333333333333,5.38333333333333,1.9500000000000002
French Polynesia,Moorea,Tiki village 2,Lagoon,2,-17.52941,-149.91064,2021-10-25,2021-2022,7.38333333333333,5.38333333333333,2
French Polynesia,Moorea,Haapiti 2,Lagoon,2,-17.51619,-149.9135,2021-11-23,2021-2022,7.03333333333333,5.23333333333333,1.7999999999999998
French Polynesia,Moorea,Teavaro,Lagoon,2,-17.5095,-149.76783,2021-11-23,2021-2022,6.83333333333333,5.23333333333333,1.6000000000000005
French Polynesia,Moorea,Temae,Lagoon,2,-17.4982,-149.75599,2021-12-23,2021-2022,7.16666666666667,5.38333333333333,1.7833333333333394
French Polynesia,Moorea,Temae,Lagoon,2,-17.4982,-149.75599,2021-12-23,2021-2022,7.13333333333333,5.38333333333333,1.75
French Polynesia,Moorea,Opunohu 1,Outer slope,30,-17.48369,-149.85802,2021-12-23,2021-2022,10.1666666666667,5.38333333333333,4.78333333333337
French Polynesia,Moorea,Linareva,Lagoon,2,-17.54952,-149.88688,2021-12-23,2021-2022,6.9,5.38333333333333,1.5166666666666702
French Polynesia,Moorea,Opunohu 1,Outer slope,30,-17.48369,-149.85802,2021-12-23,2021-2022,10.133333333333301,5.38333333333333,4.749999999999971
French Polynesia,Moorea,Maharepa 5,Lagoon,2,-17.47989,-149.80292,2021-12-23,2021-2022,7,5.38333333333333,1.6166666666666698
French Polynesia,Moorea,Maatea,Lagoon,2,-17.58294,-149.7984,2021-12-23,2021-2022,7.03333333333333,5.38333333333333,1.6499999999999995
French Polynesia,Moorea,Atiha 2,Lagoon,2,-17.58276,-149.85377,2022-02-21,2021-2022,7.63333333333333,5.93333333333333,1.7000000000000002
French Polynesia,Moorea,Tiki village 2,Lagoon,2,-17.52941,-149.91064,2022-02-21,2021-2022,8.05,5.93333333333333,2.1166666666666707
French Polynesia,Raiatea,Apooiti,Lagoon,5,-16.72594,-151.49312,2021-11-23,2021-2022,6.98333333333333,5.36666666666667,1.61666666666666
French Polynesia,Raiatea,Apooiti,Lagoon,5,-16.72594,-151.49312,2021-12-23,2021-2022,7.06666666666667,5.5,1.56666666666667
French Polynesia,Rangiroa,Aquarium,Lagoon,5,-14.97658,-147.63403,2021-10-25,2021-2022,7.18333333333333,5.28333333333333,1.9000000000000004
French Polynesia,Rangiroa,Aquarium,Lagoon,5,-14.97658,-147.63403,2021-11-23,2021-2022,6.9,5.16666666666667,1.7333333333333307
French Polynesia,Rangiroa,Aquarium,Lagoon,5,-14.97658,-147.63403,2021-12-23,2021-2022,6.88333333333333,5.31666666666667,1.5666666666666602
French Polynesia,Rangiroa,Aquarium,Lagoon,5,-14.97658,-147.63403,2021-12-23,2021-2022,6.93333333333333,5.31666666666667,1.61666666666666
French Polynesia,Rangiroa,Aquarium,Lagoon,5,-14.97658,-147.63403,2021-12-23,2021-2022,6.93333333333333,5.31666666666667,1.61666666666666
French Polynesia,Tahiti,Punaauia PK 16-2,Lagoon,2,-17.6421,-149.61367,2021-11-23,2021-2022,6.95,5.21666666666667,1.7333333333333298
French Polynesia,Tahiti,Pointe Venus 2,Lagoon,2,-17.49445,-149.49154,2021-11-23,2021-2022,7.11666666666667,5.21666666666667,1.8999999999999995
French Polynesia,Tahiti,Arue 1,Lagoon,2,-17.521578,-149.525519,2021-11-23,2021-2022,6.68333333333333,5.21666666666667,1.4666666666666597
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2021-11-23,2021-2022,6.75,5.21666666666667,1.5333333333333297
French Polynesia,Tahiti,Pointe Venus,Lagoon,2,-17.494471,-149.492953,2021-11-23,2021-2022,6.85,5.21666666666667,1.6333333333333293
French Polynesia,Tahiti,Faaa 1,Lagoon,2,-17.549422,-149.618505,2021-11-23,2021-2022,7.41666666666667,5.21666666666667,2.1999999999999993
French Polynesia,Tahiti,Tautira,Lagoon,2,-17.746148,-149.155152,2021-12-23,2021-2022,6.71666666666667,5.35,1.3666666666666707
French Polynesia,Tahiti,Punaauia PK 16,Lagoon,2,-17.64264,-149.61034,2021-12-23,2021-2022,6.83333333333333,5.35,1.4833333333333307
French Polynesia,Tahiti,Arue 2,Lagoon,2,-17.521577,-149.540048,2021-12-23,2021-2022,7.23333333333333,5.35,1.8833333333333302
French Polynesia,Tahiti,Punaauia PK 19,Lagoon,2,-17.66428,-149.59667,2021-12-23,2021-2022,6.75,5.35,1.4000000000000004
French Polynesia,Tahiti,Punaauia PK 18,Lagoon,2,-17.661567,-149.597767,2021-12-23,2021-2022,6.73333333333333,5.35,1.3833333333333302
French Polynesia,Tahiti,Arue 1,Lagoon,2,-17.521578,-149.525519,2021-12-23,2021-2022,6.78333333333333,5.35,1.43333333333333
French Polynesia,Tahiti,Paea 1,Lagoon,2,-17.703985,-149.587384,2021-12-23,2021-2022,6.83333333333333,5.35,1.4833333333333307
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2021-12-23,2021-2022,6.66666666666667,5.35,1.31666666666667
French Polynesia,Tahiti,Pointe Venus,Lagoon,2,-17.494471,-149.492953,2021-12-23,2021-2022,6.73333333333333,5.35,1.3833333333333302
French Polynesia,Tahiti,Punaauia PK 19,Lagoon,2,-17.66428,-149.59667,2021-12-23,2021-2022,6.83333333333333,5.35,1.4833333333333307
French Polynesia,Tahiti,Paea 2,Lagoon,2,-17.731833,-149.586865,2021-12-23,2021-2022,6.83333333333333,5.35,1.4833333333333307
French Polynesia,Tahiti,Punaauia PK 18,Lagoon,2,-17.661567,-149.597767,2022-01-22,2021-2022,7.25,5.65,1.5999999999999996
French Polynesia,Tahiti,Paea 1,Lagoon,2,-17.703985,-149.587384,2022-01-22,2021-2022,7.25,5.65,1.5999999999999996
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2022-01-22,2021-2022,7.1,5.65,1.4499999999999993
French Polynesia,Tahiti,Paea 3,Lagoon,2,-17.73413,-149.5842,2022-01-22,2021-2022,7.41666666666667,5.65,1.7666666666666693
French Polynesia,Tahiti,Punaauia PK 19,Lagoon,2,-17.66428,-149.59667,2022-01-22,2021-2022,7.23333333333333,5.65,1.5833333333333295
French Polynesia,Tahiti,Punaauia PK 18,Lagoon,2,-17.661567,-149.597767,2022-02-21,2021-2022,7.53333333333333,5.9,1.6333333333333293
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2022-02-21,2021-2022,7.45,5.9,1.5499999999999998
French Polynesia,Tahiti,Punaauia PK 19,Lagoon,2,-17.66428,-149.59667,2022-02-21,2021-2022,7.58333333333333,5.9,1.68333333333333
French Polynesia,Tahiti,Paea 1,Lagoon,2,-17.703985,-149.587384,2022-03-22,2021-2022,7.58333333333333,6.03333333333333,1.5500000000000007
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2022-03-22,2021-2022,7.46666666666667,6.03333333333333,1.4333333333333407
French Polynesia,Tahiti,Orofero,Lagoon,2,-17.68614,-149.58771,2022-03-23,2021-2022,7.8,6.03333333333333,1.7666666666666702
French Polynesia,Tetiaroa,Auroa,Lagoon,2,-16.98835,-149.56155,2021-12-23,2021-2022,7.1,5.38333333333333,1.7166666666666694
